,COMMUNITY AREA NAME,PER CAPITA INCOME,THERM MEAN 2010,TOTAL POPULATION
209,Rogers Park,23714,2087.0,196.0
210,Rogers Park,23714,13830.0,233.0
211,Rogers Park,23714,2021.0,233.0
212,Rogers Park,23714,5189.5,145.0
213,Rogers Park,23714,1871.5,145.0
214,Rogers Park,23714,2027.0,145.0
215,Rogers Park,23714,384.33,90.0
216,Rogers Park,23714,1236.86,90.0
217,Rogers Park,23714,3749.23,299.0
218,Rogers Park,23714,4370.0,299.0
219,Rogers Park,23714,2051.0,93.0
220,Rogers Park,23714,15011.75,647.0
221,Rogers Park,23714,5618.75,222.0
222,Rogers Park,23714,3244.0,222.0
223,Rogers Park,23714,2980.5,170.0
224,Rogers Park,23714,2929.0,170.0
225,Rogers Park,23714,1836.33,170.0
226,Rogers Park,23714,1458.0,53.0
227,Rogers Park,23714,2436.67,53.0
228,Rogers Park,23714,2001.5,253.0
229,Rogers Park,23714,3732.4,84.0
230,Rogers Park,23714,2262.0,84.0
231,Rogers Park,23714,4997.0,181.0
232,Rogers Park,23714,6277.33,29.0
233,Rogers Park,23714,1297.5,32.0
234,Rogers Park,23714,931.0,220.0
235,Rogers Park,23714,2035.8,65.0
236,Rogers Park,23714,1911.71,65.0
237,Rogers Park,23714,1471.25,272.0
238,Rogers Park,23714,963.33,45.0
239,Rogers Park,23714,1625.75,45.0
240,Rogers Park,23714,2502.5,108.0
241,Rogers Park,23714,2264.5,108.0
242,Rogers Park,23714,1907.0,108.0
243,Rogers Park,23714,19225.33,0.0
244,Rogers Park,23714,1819.0,109.0
245,Rogers Park,23714,1479.91,85.0
246,Rogers Park,23714,2035.0,88.0
247,Rogers Park,23714,2699.5,88.0
248,Rogers Park,23714,4438.67,128.0
249,Rogers Park,23714,2291.0,128.0
250,Rogers Park,23714,2677.67,128.0
251,Rogers Park,23714,3629.0,136.0
252,Rogers Park,23714,5648.2,136.0
253,Rogers Park,23714,1868.6,136.0
254,Rogers Park,23714,5919.75,140.0
255,Rogers Park,23714,5769.33,140.0
256,Rogers Park,23714,989.0,140.0
257,Rogers Park,23714,6246.25,4.0
258,Rogers Park,23714,4161.0,444.0
259,Rogers Park,23714,3575.5,444.0
260,Rogers Park,23714,2698.5,444.0
261,Rogers Park,23714,3409.28,304.0
262,Rogers Park,23714,4666.0,251.0
263,Rogers Park,23714,5443.5,251.0
264,Rogers Park,23714,4818.43,4.0
265,Rogers Park,23714,11729.5,186.0
266,Rogers Park,23714,7080.0,142.0
267,Rogers Park,23714,52.5,202.0
268,Rogers Park,23714,5115.0,136.0
269,Rogers Park,23714,3446.33,109.0
270,Rogers Park,23714,3490.0,109.0
271,Rogers Park,23714,1609.0,5.0
272,Rogers Park,23714,167.83,52.0
273,Rogers Park,23714,2828.25,52.0
274,Rogers Park,23714,2800.92,52.0
275,Rogers Park,23714,6744.0,268.0
276,Rogers Park,23714,2391.0,200.0
277,Rogers Park,23714,4912.11,200.0
278,Rogers Park,23714,1310.5,164.0
279,Rogers Park,23714,5512.0,128.0
